frequency_hz,period_s,spectral_wave_density_m2_per_hz,bin_width_hz,variance_in_bin_m2,alpha1_direction_from_deg,alpha1_propagation_to_deg,alpha2_principal_from_deg,r1,r2
0.02500000037252903,39.99999940395356,0.0,0.004999998956918716,0.0,300.0,120.0,284.0,0.3100000023841858,0.3499999940395355
0.029999999329447746,33.33333407839141,0.0,0.004999999888241291,0.0,292.0,112.0,300.0,0.3400000035762787,0.09000000357627869
0.03500000014901161,28.57142844978644,0.0,0.004999999888241291,0.0,284.0,104.0,304.0,0.4099999964237213,0.4399999976158142
0.03999999910593033,25.00000055879356,0.0,0.005000000819563866,0.0,312.0,132.0,308.0,0.38999998569488525,0.3100000023841858
0.04500000178813934,22.222221339190483,0.04399999976158142,0.005000000819563866,0.000220000034868717,300.0,120.0,308.0,0.49000000953674316,0.4699999988079071
0.05000000074505806,19.99999970197678,0.13199999928474426,0.004999998956918716,0.0006599998587369926,216.0,36.0,152.0,0.4699999988079071,0.1599999964237213
0.054999999701976776,18.181818280338256,0.13199999928474426,0.004999998956918716,0.0006599998587369926,260.0,80.0,320.0,0.28999999165534973,0.27000001072883606
0.05999999865889549,16.666667039195705,0.7480000257492065,0.004999998956918716,0.0037399993485212057,268.0,88.0,272.0,0.8199999928474426,0.5699999928474426
0.06499999761581421,15.384615948919734,4.047999858856201,0.005000000819563866,0.02024000261187542,268.0,88.0,268.0,0.9200000166893005,0.75
0.07000000029802322,14.28571422489322,2.947999954223633,0.005000002682209015,0.014740007678270217,276.0,96.0,292.0,0.7300000190734863,0.36000001430511475
0.07500000298023224,13.33333280351429,4.400000095367432,0.004999998956918716,0.02199999588727941,252.0,72.0,252.0,0.8899999856948853,0.7400000095367432
0.07999999821186066,12.50000027939678,2.24399995803833,0.004999998956918716,0.011219997449517294,260.0,80.0,248.0,0.7699999809265137,0.3799999952316284
0.08500000089406967,11.764705758606276,2.7720000743865967,0.005000002682209015,0.013860007807016572,284.0,104.0,284.0,0.8899999856948853,0.699999988079071
0.09000000357627869,11.111110669595242,1.8480000495910645,0.004999998956918716,0.009239998320341059,268.0,88.0,272.0,0.8500000238418579,0.6299999952316284
0.0949999988079071,10.526315921561542,2.375999927520752,0.005499999970197678,0.01306799953055382,276.0,96.0,280.0,0.8600000143051147,0.6800000071525574
0.10100000351667404,9.900989754271746,2.5959999561309814,0.007500000298023224,0.019470000444650637,272.0,92.0,276.0,0.8399999737739563,0.6200000047683716
0.10999999940395355,9.090909140169128,1.4079999923706055,0.009499996900558472,0.013375995563507104,280.0,100.0,280.0,0.8299999833106995,0.5099999904632568
0.11999999731779099,8.333333519597852,1.4079999923706055,0.009999997913837433,0.014079996986389176,280.0,100.0,280.0,0.8600000143051147,0.6100000143051147
0.12999999523162842,7.692307974459867,1.100000023841858,0.010000001639127731,0.011000002041459123,284.0,104.0,276.0,0.8299999833106995,0.5299999713897705
0.14000000059604645,7.14285711244661,0.7480000257492065,0.01000000536441803,0.00748000427007689,296.0,116.0,296.0,0.800000011920929,0.4699999988079071
